专业,院校名称,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质
社会工作,南京工程学院,none,none,none,none,none,none,3,532,"87,028",none,none,公办
市场营销,南京工程学院,2,562,"64,273",none,none,none,none,none,none,none,none,公办
水质科学与技术,南京工程学院,4,548,"84,659",none,none,none,none,none,none,none,none,公办
通信工程,南京工程学院,4,568,"56,518",2,556,"53,374",2,556,"52,160",none,none,公办
土木类,南京工程学院,5,550,"80,514",5,535,"82,770",6,530,"89,263",none,none,公办
信息管理与信息系统,南京工程学院,2,561,"66,000",none,none,none,none,none,none,none,none,公办
智能电网信息工程,南京工程学院,2,579,"44,585",none,none,none,none,none,none,none,none,公办
安全工程,南京工业大学,2,598,"28,325",2,579,"30,173",3,575,"32,565",省重点,none,公办
材料科学与工程,南京工业大学,none,none,none,none,none,none,2,568,"39,200",省重点,none,公办
材料类,南京工业大学,14,595,"30,489",16,570,"37,968",12,565,"41,622",省重点,none,公办
城市地下空间工程,南京工业大学,none,none,none,none,none,none,4,561,"46,103",省重点,none,公办
德语,南京工业大学,3,592,"33,162",2,570,"38,428",2,565,"42,056",省重点,none,公办
电气工程及其自动化,南京工业大学,3,600,"26,771",3,584,"26,573",3,583,"25,983",省重点,none,公办
电子信息工程(中外合作办学),南京工业大学,3,583,"40,535",3,565,"43,221",3,562,"44,973",省重点,none,公办
法学,南京工业大学,2,599,"27,720",2,588,"23,776",2,584,"24,928",省重点,none,公办
工业工程,南京工业大学,6,591,"33,461",6,570,"38,727",6,564,"42,931",省重点,none,公办
管理科学与工程类,南京工业大学,5,595,"30,667",2,576,"32,820",2,566,"40,326",省重点,none,公办
国际经济与贸易,南京工业大学,4,595,"30,904",4,576,"32,827",2,573,"34,562",省重点,none,公办
化学工程与工艺,南京工业大学,4,602,"25,642",8,579,"30,504",8,574,"33,418",省重点,none,公办
环境科学与工程类,南京工业大学,5,596,"29,919",7,572,"36,117",7,564,"43,241",省重点,none,公办
机器人工程,南京工业大学,none,none,none,none,none,none,2,579,"28,625",省重点,none,公办
机械工程(中外合作办学),南京工业大学,3,581,"43,045",3,558,"50,519",3,556,"51,551",省重点,none,公办
计算机科学与技术,南京工业大学,4,603,"24,786",2,591,"21,926",none,none,none,省重点,none,公办
建筑学,南京工业大学,2,598,"27,826",2,584,"26,960",2,578,"29,586",省重点,none,公办
能源动力类,南京工业大学,3,598,"28,350",5,579,"30,398",5,576,"31,117",省重点,none,公办
轻化工程,南京工业大学,2,593,"31,917",2,574,"34,422",2,570,"36,874",省重点,none,公办
社会工作,南京工业大学,2,592,"33,231",2,575,"34,103",none,none,none,省重点,none,公办
食品科学与工程类,南京工业大学,4,596,"29,458",2,577,"31,975",2,572,"35,335",省重点,none,公办
数学与应用数学,南京工业大学,6,597,"28,754",2,584,"26,464",2,580,"27,733",省重点,none,公办
铁道工程,南京工业大学,none,none,none,none,none,none,2,560,"46,888",省重点,none,公办
土木工程(中外合作办学),南京工业大学,none,none,none,3,554,"56,118",3,548,"62,177",省重点,none,公办
土木类,南京工业大学,12,594,"31,475",12,574,"35,120",12,564,"42,863",省重点,none,公办
消防工程,南京工业大学,2,593,"32,122",2,571,"37,158",2,566,"40,580",省重点,none,公办
新能源材料与器件,南京工业大学,3,596,"29,341",3,577,"31,941",2,575,"32,500",省重点,none,公办
新能源科学与工程,南京工业大学,2,599,"27,436",2,581,"28,821",2,580,"27,771",省重点,none,公办
药学类,南京工业大学,6,595,"30,522",6,576,"33,254",6,572,"35,258",省重点,none,公办
知识产权,南京工业大学,2,596,"29,822",2,581,"29,059",2,581,"27,563",省重点,none,公办
制药工程,南京工业大学,2,600,"26,918",4,579,"30,568",4,573,"33,780",省重点,none,公办
制药工程(中外合作办学),南京工业大学,3,573,"52,008",3,554,"56,176",3,553,"55,194",省重点,none,公办
自动化,南京工业大学,3,600,"26,709",none,none,none,none,none,none,省重点,none,公办
城市轨道交通设备与控制技术,南京工业职业技术大学,none,none,none,none,none,none,2,480,"197,743",none,none,公办
大数据与会计,南京工业职业技术大学,none,none,none,none,none,none,1,537,"78,664",none,none,公办
机械设计制造及自动化,南京工业职业技术大学,none,none,none,none,none,none,2,488,"176,846",none,none,公办
建设工程管理,南京工业职业技术大学,none,none,none,none,none,none,1,478,"200,435",none,none,公办
物联网工程技术,南京工业职业技术大学,none,none,none,none,none,none,2,488,"177,834",none,none,公办
材料科学与工程,南京航空航天大学,4,626,"12,142",4,606,"13,650",4,600,"15,444",211,一流学科,公办
测控技术与仪器,南京航空航天大学,4,628,"11,324",2,610,"12,060",2,607,"11,996",211,一流学科,公办
车辆工程,南京航空航天大学,2,630,"10,612",2,611,"11,396",2,608,"11,734",211,一流学科,公办
大数据管理与应用,南京航空航天大学,none,none,none,none,none,none,4,607,"12,011",211,一流学科,公办
电气工程及其自动化,南京航空航天大学,8,632,"9,623",12,615,"9,983",12,612,"9,758",211,一流学科,公办
电子信息类,南京航空航天大学,6,631,"10,120",10,613,"10,530",10,609,"10,881",211,一流学科,公办
法学,南京航空航天大学,3,628,"11,567",3,609,"12,150",3,606,"12,550",211,一流学科,公办
飞行器控制与信息工程,南京航空航天大学,2,632,"9,661",3,614,"10,140",3,612,"9,891",211,一流学科,公办
飞行器适航技术,南京航空航天大学,none,none,none,4,609,"12,146",4,606,"12,358",211,一流学科,公办
工程力学,南京航空航天大学,3,631,"10,335",3,614,"10,388",3,609,"10,878",211,一流学科,公办
工商管理,南京航空航天大学,5,628,"11,381",5,605,"14,179",2,598,"16,074",211,一流学科,公办
工业设计,南京航空航天大学,2,626,"12,068",3,608,"12,544",3,605,"13,014",211,一流学科,公办
管理科学与工程类,南京航空航天大学,4,625,"12,559",4,608,"12,720",3,603,"13,583",211,一流学科,公办
光电信息科学与工程,南京航空航天大学,2,630,"10,394",4,612,"10,980",5,608,"11,577",211,一流学科,公办
广播电视学,南京航空航天大学,2,626,"12,031",none,none,none,none,none,none,211,一流学科,公办
航空航天工程,南京航空航天大学,4,637,"8,105",5,620,"8,173",5,617,"7,945",211,一流学科,公办
航空航天类,南京航空航天大学,33,631,"10,194",30,613,"10,809",30,610,"10,645",211,一流学科,公办
核工程类,南京航空航天大学,3,628,"11,173",3,608,"12,730",3,606,"12,250",211,一流学科,公办
会计学,南京航空航天大学,none,none,none,none,none,none,3,602,"14,227",211,一流学科,公办
机器人工程,南京航空航天大学,2,631,"10,330",2,614,"10,337",3,609,"10,893",211,一流学科,公办
机械工程,南京航空航天大学,11,626,"12,277",15,606,"13,435",14,603,"13,663",211,一流学科,公办
计算机科学与技术,南京航空航天大学,4,637,"7,943",4,622,"7,512",4,619,"7,445",211,一流学科,公办
建筑环境与能源应用工程,南京航空航天大学,2,625,"12,552",2,603,"14,820",none,none,none,211,一流学科,公办
交通运输(民航电子电气工程),南京航空航天大学,2,627,"11,788",2,608,"12,519",3,604,"13,276",211,一流学科,公办
交通运输(民航机务工程),南京航空航天大学,2,623,"13,597",none,none,none,none,none,none,211,一流学科,公办
交通运输(民航运输管理),南京航空航天大学,2,627,"11,936",none,none,none,none,none,none,211,一流学科,公办
交通运输(中外合作办学)(机场运行与管理),南京航空航天大学,8,599,"27,451",6,581,"28,560",6,576,"31,495",211,一流学科,公办
金融学,南京航空航天大学,none,none,none,none,none,none,2,603,"13,705",211,一流学科,公办
经济与贸易类,南京航空航天大学,6,626,"12,199",5,605,"14,153",none,none,none,211,一流学科,公办
能源与动力工程,南京航空航天大学,3,629,"10,901",3,611,"11,560",3,608,"11,578",211,一流学科,公办
人工智能,南京航空航天大学,3,634,"9,079",3,617,"9,033",2,618,"7,760",211,一流学科,公办
日语,南京航空航天大学,4,612,"18,913",none,none,none,none,none,none,211,一流学科,公办
软件工程,南京航空航天大学,3,638,"7,744",3,621,"7,814",4,618,"7,801",211,一流学科,公办
生物医学工程,南京航空航天大学,3,625,"12,504",3,607,"13,219",3,602,"14,100",211,一流学科,公办
探测制导与控制技术,南京航空航天大学,2,630,"10,399",2,612,"10,979",3,608,"11,445",211,一流学科,公办
土木工程,南京航空航天大学,3,623,"13,663",3,604,"14,638",2,597,"16,662",211,一流学科,公办
微电子科学与工程(集成电路设计),南京航空航天大学,2,633,"9,515",4,616,"9,487",6,613,"9,654",211,一流学科,公办
物联网工程,南京航空航天大学,2,632,"9,935",2,614,"10,091",2,612,"9,995",211,一流学科,公办
新能源材料与器件,南京航空航天大学,3,628,"11,278",3,607,"12,980",4,604,"13,127",211,一流学科,公办
信息安全,南京航空航天大学,3,630,"10,427",3,614,"10,245",3,612,"10,039",211,一流学科,公办
行政管理,南京航空航天大学,none,none,none,2,604,"14,676",2,599,"15,943",211,一流学科,公办
应用化学,南京航空航天大学,2,626,"12,012",4,604,"14,426",2,602,"14,340",211,一流学科,公办
应用统计学,南京航空航天大学,2,629,"10,875",2,612,"10,935",2,608,"11,706",211,一流学科,公办
应用物理学,南京航空航天大学,4,628,"11,238",4,607,"13,062",6,603,"13,786",211,一流学科,公办
英语(民航业务、国际贸易),南京航空航天大学,4,622,"14,194",4,603,"14,902",2,599,"15,854",211,一流学科,公办
政治学与行政学,南京航空航天大学,3,618,"16,076",none,none,none,none,none,none,211,一流学科,公办
智能制造工程,南京航空航天大学,none,none,none,3,610,"11,929",4,607,"11,998",211,一流学科,公办
自动化,南京航空航天大学,5,632,"9,841",10,614,"10,181",10,609,"10,875",211,一流学科,公办
自动化(中外合作办学)(航空电子与控制),南京航空航天大学,2,617,"16,204",none,none,none,none,none,none,211,一流学科,公办
兵器类,南京理工大学,12,627,"11,827",12,607,"13,000",15,605,"13,027",211,一流学科,公办
材料科学与工程(中外合作办学),南京理工大学,5,595,"30,433",5,576,"32,860",5,572,"34,611",211,一流学科,公办
材料类,南京理工大学,6,625,"12,417",5,605,"14,317",15,597,"16,966",211,一流学科,公办
电子信息类,南京理工大学,10,631,"10,094",14,613,"10,614",18,609,"11,142",211,一流学科,公办
法学,南京理工大学,4,623,"13,618",4,606,"13,494",2,604,"13,427",211,一流学科,公办
工商管理类,南京理工大学,6,624,"12,837",6,605,"14,253",12,599,"15,778",211,一流学科,公办
工业设计(中外合作办学),南京理工大学,5,599,"27,417",5,578,"31,663",none,none,none,211,一流学科,公办
公共事业管理,南京理工大学,6,612,"18,974",6,596,"19,179",none,none,none,211,一流学科,公办
化工与制药类,南京理工大学,10,624,"13,248",13,601,"16,053",14,595,"17,711",211,一流学科,公办
机械工程(中外合作办学),南京理工大学,5,596,"29,770",5,578,"31,269",5,577,"30,674",211,一流学科,公办
机械类,南京理工大学,10,625,"12,437",8,606,"13,769",14,601,"14,651",211,一流学科,公办
计算机类,南京理工大学,6,633,"9,466",8,615,"9,696",8,613,"9,451",211,一流学科,公办
经济学类,南京理工大学,6,625,"12,670",6,606,"13,712",8,601,"14,723",211,一流学科,公办
能源动力类,南京理工大学,5,625,"12,424",5,605,"14,057",14,599,"15,587",211,一流学科,公办
日语,南京理工大学,6,609,"21,155",6,591,"21,947",none,none,none,211,一流学科,公办
社会工作,南京理工大学,4,611,"19,826",4,594,"20,241",none,none,none,211,一流学科,公办
数据科学与大数据技术,南京理工大学,none,none,none,8,611,"11,501",6,607,"11,940",211,一流学科,公办
数学类,南京理工大学,5,628,"11,166",5,609,"12,117",none,none,none,211,一流学科,公办
探测制导与控制技术,南京理工大学,5,627,"11,834",5,607,"13,129",6,604,"13,090",211,一流学科,公办
网络空间安全,南京理工大学,12,626,"12,060",8,608,"12,583",7,606,"12,453",211,一流学科,公办
新能源科学与工程,南京理工大学,13,620,"14,692",8,602,"15,457",10,598,"16,149",211,一流学科,公办
信息管理与信息系统,南京理工大学,10,623,"13,448",6,604,"14,546",6,599,"15,591",211,一流学科,公办
英语,南京理工大学,9,616,"17,106",8,599,"17,116",none,none,none,211,一流学科,公办
语言学,南京理工大学,none,none,none,7,589,"23,233",none,none,none,211,一流学科,公办
智能制造工程,南京理工大学,15,621,"14,314",10,604,"14,489",10,601,"14,580",211,一流学科,公办
自动化类,南京理工大学,15,630,"10,451",15,611,"11,372",18,607,"11,893",211,一流学科,公办
测控技术与仪器,南京林业大学,none,none,none,4,572,"36,399",none,none,none,省重点,一流学科,公办
车辆工程,南京林业大学,none,none,none,none,none,none,4,573,"34,467",省重点,一流学科,公办
电气工程及其自动化,南京林业大学,none,none,none,3,577,"32,058",2,578,"29,475",省重点,一流学科,公办
电子信息工程,南京林业大学,none,none,none,3,580,"29,871",2,583,"26,064",省重点,一流学科,公办
电子信息类,南京林业大学,6,593,"31,822",none,none,none,none,none,none,省重点,一流学科,公办
法学,南京林业大学,2,607,"21,883",3,590,"23,004",3,587,"22,769",省重点,一流学科,公办
风景园林,南京林业大学,none,none,none,2,584,"26,866",2,580,"28,308",省重点,一流学科,公办
工程管理,南京林业大学,none,none,none,4,569,"39,085",4,568,"39,039",省重点,一流学科,公办
工商管理类,南京林业大学,4,598,"28,277",4,582,"28,296",2,582,"26,644",省重点,一流学科,公办
汉语言文学,南京林业大学,none,none,none,none,none,none,4,584,"25,432",省重点,一流学科,公办
环境工程,南京林业大学,none,none,none,4,574,"35,109",4,570,"36,725",省重点,一流学科,公办
环境科学与工程类,南京林业大学,4,593,"32,049",none,none,none,none,none,none,省重点,一流学科,公办
机器人工程,南京林业大学,none,none,none,4,576,"32,631",4,576,"31,859",省重点,一流学科,公办
机械设计制造及其自动化,南京林业大学,16,589,"35,427",6,574,"34,353",4,574,"32,955",省重点,一流学科,公办
计算机科学与技术,南京林业大学,4,595,"30,586",3,581,"28,950",2,582,"26,816",省重点,一流学科,公办
家具设计与工程,南京林业大学,4,589,"35,250",4,568,"39,949",4,562,"44,596",省重点,一流学科,公办
建筑类,南京林业大学,4,606,"22,574",none,none,none,none,none,none,省重点,一流学科,公办
交通运输类,南京林业大学,none,none,none,none,none,none,4,570,"36,488",省重点,一流学科,公办
林学(中外合作办学),南京林业大学,8,568,"57,235",8,554,"55,807",8,550,"59,259",省重点,一流学科,公办
林学类,南京林业大学,8,595,"30,859",6,577,"32,244",6,575,"32,676",省重点,一流学科,公办
木材科学与工程,南京林业大学,2,592,"32,751",4,569,"39,231",4,565,"41,625",省重点,一流学科,公办
